,County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Georeference
14088,ERIE,710054,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #8338,25,GARDENVILLE PKWY,,,W SENECA,NY,14224,9000,POINT (-78.755177287 42.864819529)
14175,ONEIDA,709395,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #14421,1700,ERIE ST,,,UTICA,NY,13502,0,POINT (-75.255716663 43.109949629)
14214,ERIE,709110,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #14652,1618,MAIN ST,,,BUFFALO,NY,14209,0,POINT (-78.862823722 42.917501299)
14223,NIAGARA,709067,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #14797,686,LAKE ST RT 425,,,WILSON,NY,14172,9200,POINT (-78.825178835 43.296305488)
14227,ERIE,709063,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #14802,10607,ERIE RD,,,FARNHAM,NY,14061,8704,POINT (-79.091249359 42.59362653)
14497,ERIE,707428,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #14742,437,TONAWANDA ST,,,BUFFALO,NY,14207,7500,POINT (-78.898486793 42.941460969)
14499,ERIE,707425,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #8362,804,WEHRLE DR,,,AMHERST,NY,14221,7300,POINT (-78.753872476 42.949923758)
14991,ERIE,704163,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #13797,7169,BOSTON ST RD,,,HAMBURG,NY,14075,4000,POINT (-78.757507767 42.678033695)
21152,ONONDAGA,311271,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL 13168,606,BUTTERNUT ST,,,SYRACUSE,NY,13208,10000,POINT (-76.146050671 43.05978574)
21166,ONONDAGA,311181,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #8840,7999,STATE ROUTE 31,,,BRIDGEPORT,NY,13030,6000,POINT (-75.974246467 43.155274309)
21204,ONONDAGA,310974,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #10893,1160,STATE ROUTE 5,,,ELBRIDGE,NY,13060,7160,POINT (-76.423747817 43.038562426)
21210,ONONDAGA,310955,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #11033,7031,MANLIUS CENTER RD,,,EAST SYRACUSE,NY,13057,3000,POINT (-76.035358168 43.063340338)
21216,ONONDAGA,310925,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #11009,3535,JAMES ST,,,SYRACUSE,NY,13206,9300,POINT (-76.097719109 43.069863596)
21222,ONONDAGA,310891,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #10784,2512,RTE 11,,,LAFAYETTE,NY,13084,5000,POINT (-76.105078336 42.893172071)
21232,ONONDAGA,310819,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #10325,602,OLD LIVERPOOL RD,,,LIVERPOOL,NY,13088,6400,POINT (-76.190113833 43.090208319)
21240,ONONDAGA,310752,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL 6404,475,ST RT 281,,,TULLY,NY,13159,7100,POINT (-76.122141125 42.794256812)
