County,GEOID,License Number,Entity Name,DBA Name,Street Number,Street Name,City,State,Zip Code,geometry,TRACTCE,LSAD,ALAND,AWATER,pop_total,pop_white,housing_total,housing_owned,housing_rental,med_income,state,county,tract,_merge
WAYNE,36117020201,735105,DOLGEN NEW YORK LLC,DOLLAR GENERAL #18565,2080,WALWORTH-PENFIELD RD,WALWORTH,NY,14568,POINT (314601.3125679522 4778670.737483907),20201,CT,49582986,95141,4444,4388,1806,1650,156,33616,36,117,20201,both
WAYNE,36117020105,712243,DOLGEN NEW YORK LLC,DOLLAR GENERAL #15522,1250,RT 104,ONTARIO,NY,14519,POINT (311579.3258166129 4788481.937268424),20105,CT,15600577,0,2799,2610,1204,849,355,43078,36,117,20105,both
WASHINGTON,36115092000,530126,DOLGEN NEW YORK LLC,DOLLAR GENERAL #10882,1133,STATE RT 22,CAMBRIDGE,NY,12816,POINT (632138.1134086815 4764167.219130103),92000,CT,124115622,137924,3283,3188,1438,1158,280,37305,36,115,92000,both
WASHINGTON,36115090000,735097,DOLGEN NEW YORK LLC,DOLLAR GENERAL #18239,32,S MAIN ST,SALEM,NY,12865,POINT (635600.9597875481 4780264.486803447),90000,CT,135616682,149107,2638,2551,1094,756,338,32821,36,115,90000,both
WASHINGTON,36115089000,716206,DOLGEN NEW YORK LLC,DOLLAR GENERAL #16176,1251,RT 29,GREENWICH,NY,12834,POINT (621394.2641395846 4772758.007519901),89000,CT,113087480,1547671,4803,4552,1815,1428,387,35500,36,115,89000,both
WASHINGTON,36115088001,740970,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #20719,290,BROADWAY,FORT EDWARD,NY,12828,POINT (614737.475556805 4792799.017822828),88001,CT,4769592,3053,2809,2775,950,814,136,37601,36,115,88001,both
WASHINGTON,36115087000,723014,DOLGEN NEW YORK LLC,DOLLAR GENERAL #16472,1085,STATE RT 197,ARGYLE,NY,12809,POINT (622392.5856430532 4788842.908830992),87000,CT,146426522,3264208,3682,3626,1456,1253,203,36676,36,115,87000,both
WASHINGTON,36115085000,746615,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21449,123,ROWE HILL RD,HARTFORD,NY,12838,POINT (630155.7929316589 4801941.315087724),85000,CT,112309958,261211,1977,1910,767,638,129,38939,36,115,85000,both
WASHINGTON,36115084002,745202,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21459,2033,CTY RD 23,GRANVILLE,NY,12832,POINT (638114.2291442808 4810110.457375465),84002,CT,67246353,594659,3153,3031,1471,1052,419,27087,36,115,84002,both
WASHINGTON,36115084002,530085,DOLGEN NEW YORK LLC,DOLLAR GENERAL 6184,87,QUAKER ST,GRANVILLE,NY,12832,POINT (640338.0755653111 4806519.353755912),84002,CT,67246353,594659,3153,3031,1471,1052,419,27087,36,115,84002,both
WASHINGTON,36115082001,530135,DOLGEN NEW YORK LLC,DOLLAR GENERAL #10980,180,BROADWAY,WHITEHALL,NY,12887,POINT (628759.3448988697 4822827.860194405),82001,CT,205648432,5195222,4955,4647,1891,1269,622,30412,36,115,82001,both
WASHINGTON,36115081002,724826,DOLGEN NEW YORK LLC,DOLLAR GENERAL #17062,11350,NYS RT 149,FORT ANN,NY,12827,POINT (621897.9918380562 4807903.121771856),81002,CT,108096692,729976,4085,2199,609,542,67,32219,36,115,81002,both
WASHINGTON,36115080200,530077,DOLGEN NEW YORK LLC,DOLLAR GENERAL #9556,343,MAIN ST,HUDSON FALLS,NY,12839,POINT (615277.9143443711 4796619.460094132),80200,CT,1880301,0,2515,2303,1006,647,359,34680,36,115,80200,both
